Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
INSC	8.20E-12	1.16848723232148	Up
TM4SF20	0.046397945128306	1.16981944237849	Up
SYT11	1.80E-08	1.17000933985922	Up
DEFA6	0.023962085339874	1.17137237825516	Up
ARHGAP25	1.25E-07	1.17207212655844	Up
PREX1	2.08E-07	1.17221582574876	Up
IKZF1	1.65E-05	1.17226387771269	Up
ETS1	2.81E-10	1.17379364633848	Up
PLK2	2.31E-09	1.17413988560605	Up
TPK1	2.16E-08	1.17465578361651	Up
SEMA4D	4.23E-10	1.17491278686064	Up
AGPAT4	7.98E-10	1.17789881704614	Up
FCGR3A	9.15E-09	1.17907785789217	Up
LILRB4	1.96E-06	1.17957110257835	Up
CXCL3	3.20E-14	1.17975481692274	Up
JAM2	8.92E-07	1.18065049001855	Up
GPX7	6.64E-08	1.18125645029711	Up
GUCY1B3	8.55E-07	1.18312685913792	Up
TIMP3	2.18E-05	1.18407084157135	Up
TLR6	5.90E-06	1.18760501053659	Up
ENKUR	0.000505057008434	1.18787166148771	Up
MSC	6.30E-08	1.18850859585662	Up
CYSLTR1	9.83E-06	1.18904431401435	Up
MMP14	1.61E-11	1.18943031103166	Up
MUC1	1.17E-06	1.18962059081293	Up
TAP1	2.72E-16	1.19044311955549	Up
TAP1	2.72E-16	1.19044311955549	Up
TAP1	2.72E-16	1.19044311955549	Up
OLFML2B	3.43E-07	1.19159769595605	Up
ITGB3	2.84E-08	1.19201806270457	Up
CCR1	0.000181641060108	1.19240236798592	Up
SLC26A4	0.000370908140086	1.19324101816124	Up
NCOA7	2.14E-13	1.19361903926721	Up
A2M	2.10E-05	1.19381272432555	Up
STXBP1	1.40E-11	1.19437408576778	Up
TNFAIP2	8.30E-08	1.19588387808332	Up
ANKRD22	1.96E-07	1.19639340933741	Up
PARP15	8.99E-05	1.19645015039768	Up
AKT3	4.41E-05	1.19927690105108	Up
EBF1	4.20E-07	1.20030821218703	Up
SPNS2	1.53E-10	1.20197003535485	Up
CCDC88A	2.01E-06	1.20296230307537	Up
SEC14L1	1.63E-14	1.20395443387669	Up
RASGRP1	5.70E-08	1.20420727895245	Up
POSTN	0.002168301293834	1.20490553132645	Up
SOD2	2.38E-07	1.20570938283635	Up
GEM	1.12E-06	1.20805033286975	Up
SEMA7A	1.25E-07	1.20821304588199	Up
HBEGF	0.001615861933355	1.20854122271396	Up
BTK	1.43E-06	1.20862832662578	Up
FAM46C	1.04E-09	1.20874559474425	Up
RND1	2.82E-06	1.20951975036415	Up
ARHGAP15	3.76E-06	1.21087245978094	Up
SERPINF1	0.000172696758374	1.21095189932996	Up
CXCL6	0.000268709156095	1.21573728347171	Up
CD86	1.24E-06	1.21916688969123	Up
NRG1	3.32E-08	1.22014812919217	Up
GLT8D2	4.09E-05	1.22020104135068	Up
CECR1	5.78E-06	1.22104252372952	Up
STAP1	0.000995943944876	1.2247045290728	Up
PLS3	8.21E-13	1.22479883963104	Up
FN1	0.000985856464018	1.22513124519749	Up
GLT1D1	0.000122568200889	1.22571498810028	Up
PODXL	6.70E-13	1.22732226746063	Up
CCL4	0.000155046545086	1.22795223130884	Up
TGFB1	3.03E-09	1.22797912510029	Up
TMEM71	1.23E-05	1.22924032946205	Up
KLF7	1.03E-07	1.23064827312801	Up
SP140	1.32E-08	1.23516235620047	Up
ICAM2	3.15E-08	1.23677346447194	Up
FERMT2	4.47E-06	1.23766225248286	Up
TFPI2	0.003402572728073	1.23827719107799	Up
LILRA5	9.17E-05	1.23988389175004	Up
CXorf21	9.62E-07	1.24054900519346	Up
GIMAP1-GIMAP5	6.93E-09	1.24183168112378	Up
HLA-DMB	5.27E-10	1.24199671739636	Up
TNFRSF17	3.41E-05	1.24222610141961	Up
ALDH1L2	3.28E-06	1.24313619288378	Up
TBXAS1	1.01E-15	1.24402042865598	Up
DOCK11	3.07E-07	1.24716614711013	Up
SMOX	5.13E-12	1.24851931768608	Up
UNC13D	4.37E-17	1.2515811520941	Up
HLA-DMB	6.37E-10	1.25389027176129	Up
SLAMF1	5.14E-07	1.25460319151924	Up
SULF1	5.80E-05	1.25465447611306	Up
RRM2	7.57E-10	1.2550068390026	Up
CSGALNACT2	4.42E-08	1.25651147144288	Up
NCF4	2.57E-07	1.2567029485143	Up
STS	7.29E-05	1.25670618152356	Up
CEP170	1.09E-05	1.25997388544694	Up
SP110	8.81E-14	1.26024259064573	Up
EMP3	1.24E-07	1.26191591454235	Up
RIPK2	3.38E-10	1.26308736363411	Up
IL24	0.009865811885121	1.26396598681769	Up
FXYD5	3.56E-11	1.26408193480325	Up
MB21D1	4.21E-10	1.26526575693236	Up
IGSF6	0.000410173641405	1.26561989275062	Up
GRK5	5.60E-11	1.26672822557321	Up
TRPS1	6.76E-07	1.27249270119545	Up
DUSP4	1.28E-11	1.27249925359192	Up
TLR4	6.73E-07	1.2730487417063	Up
SEC24D	4.19E-22	1.27488756786448	Up
CREB3L2	2.59E-20	1.27548763385141	Up
CASP4	3.09E-12	1.27615383730791	Up
LHFP	3.69E-05	1.27833565866865	Up
APOBEC3G	1.06E-08	1.28096153099797	Up
XAF1	1.48E-09	1.28112796926684	Up
TEK	4.67E-09	1.2811650362678	Up
CYP7B1	6.36E-06	1.28131898219712	Up
COL5A2	6.60E-07	1.28223661007585	Up
SNX10	1.63E-07	1.2840013236924	Up
LAMA4	9.65E-07	1.284014663212	Up
HAPLN3	1.75E-13	1.28465699719354	Up
CLEC4E	7.80E-05	1.28669248238395	Up
PSAT1	1.32E-06	1.28732215627694	Up
SELPLG	2.53E-06	1.28750250669684	Up
INPP5D	6.64E-10	1.29304767802297	Up
DUSP10	9.70E-15	1.29319679271777	Up
PTPRM	7.97E-10	1.29369686427416	Up
PIK3R3	2.65E-15	1.29490422933315	Up
BST2	1.30E-08	1.29561223606099	Up
EPHA2	1.50E-08	1.29565676381728	Up
CORO1A	2.43E-06	1.2968138617318	Up
POU2AF1	3.06E-09	1.30229253625268	Up
RASSF2	6.89E-05	1.30289062356352	Up
ANXA6	7.59E-08	1.30325749044679	Up
ALDH1A2	5.17E-06	1.30419848634637	Up
RNF213	1.25E-15	1.30424655515694	Up
CCDC109B	2.27E-13	1.30640236666015	Up
CDK14	2.67E-07	1.30963995383531	Up
PLVAP	5.40E-11	1.30978261045906	Up
IKZF3	5.14E-07	1.31472531460153	Up
AZGP1	4.06E-05	1.31487810294072	Up
GPX8	1.01E-10	1.31743441121246	Up
DERL3	2.74E-10	1.31816398191821	Up
PARP9	1.06E-13	1.31950313353933	Up
STAT1	3.77E-14	1.32298561333368	Up
SERPINE2	2.58E-07	1.32421916110352	Up
RNF213	5.57E-16	1.32534687616613	Up
SLC11A1	3.04E-05	1.32557537416621	Up
CXCL5	0.000347374440781	1.325708583862	Up
MLKL	8.36E-15	1.32648874817253	Up
SCD	1.35E-07	1.32693974331841	Up
RGCC	2.93E-11	1.3283998644199	Up
IL10RA	1.11E-08	1.32954394607165	Up
IFI44	1.14E-08	1.33054071422074	Up
PSMB9	7.21E-17	1.33245778413511	Up
PSMB9	7.21E-17	1.33245778413511	Up
PSMB9	7.21E-17	1.33245778413511	Up
ANGPT2	2.74E-07	1.33452340925232	Up
DOCK8	6.54E-08	1.33485789118507	Up
CCL21	0.001922254913732	1.33508170003641	Up
SAA4	4.74E-08	1.33540087202871	Up
RASSF5	4.76E-09	1.33598794947612	Up
TMEM45A	2.79E-07	1.33798379416331	Up
LRP8	1.71E-16	1.33934300450406	Up
ASAP1	2.74E-10	1.33978324023816	Up
CRISPLD2	9.36E-07	1.3417184485833	Up
LOX	2.65E-06	1.34312381082491	Up
DENND5A	1.68E-07	1.34332397052953	Up
IFI30	2.64E-10	1.34451587259452	Up
DSE	6.45E-08	1.34458142881791	Up
NXPE3	7.03E-10	1.3453431020885	Up
FLI1	8.24E-09	1.34544850520432	Up
ORAI2	3.70E-09	1.34590895897233	Up
P2RY8	9.07E-09	1.34729230663641	Up
P2RY8	9.07E-09	1.34729230663641	Up
FAM49A	1.17E-07	1.34795245738438	Up
PDCD1LG2	9.90E-08	1.351228859957	Up
SDR16C5	2.86E-08	1.35132077752119	Up
OSM	0.000584876280295	1.35149938209855	Up
HCLS1	8.33E-10	1.35180976227741	Up
MMRN1	0.000241401756508	1.35374870051163	Up
S100A11	1.59E-21	1.35432914770562	Up
HLA-DOB	5.47E-08	1.354651204071	Up
LILRB3	9.76E-07	1.35516468248774	Up
JAK3	1.25E-10	1.35902130753841	Up
PDPN	3.41E-09	1.36396036011959	Up
AIM2	1.36E-06	1.36516697124255	Up
DOCK2	1.12E-07	1.36627243306421	Up
SERPINA1	5.56E-17	1.36858243737199	Up
PLA2G2A	9.38E-06	1.36894306612421	Up
TMEM154	2.01E-06	1.3718794193347	Up
VIM	5.50E-09	1.3846451493301	Up
ASPHD2	8.78E-16	1.38542385326186	Up
ICOS	9.77E-08	1.38582934762445	Up
XBP1	9.96E-19	1.38830044540424	Up
DDIT4	1.86E-11	1.38919012968281	Up
NFKBIZ	3.17E-15	1.39133085085534	Up
THEMIS2	2.41E-08	1.39139969303065	Up
NCKAP1L	1.12E-07	1.39156797061854	Up
CALU	2.47E-13	1.39160731718835	Up
FKBP10	3.32E-08	1.39177653599562	Up
ALOX5	4.20E-09	1.39280616806217	Up
ADM	1.19E-10	1.39310731585007	Up
IFITM1	7.85E-19	1.398293362213	Up
ELL2	1.07E-18	1.39887899485187	Up
CYP4X1	1.71E-10	1.40017044424984	Up
SLA	1.08E-08	1.40493810413713	Up
ELMO1	4.00E-08	1.40660737438734	Up
ELK3	4.64E-13	1.40969446191477	Up
SLC43A3	5.16E-08	1.41053694226377	Up
SRPX2	3.82E-10	1.41381802410559	Up
ANGPTL4	2.90E-08	1.41664837792918	Up
CD80	2.56E-10	1.41808056293597	Up
FCN3	2.82E-08	1.41811638342891	Up
KLHL6	1.08E-09	1.41815199206627	Up
GLCCI1	7.14E-10	1.41819506621204	Up
MUC5B	5.87E-06	1.41869991994247	Up
LIPG	6.50E-15	1.41897035383316	Up
CHST15	6.93E-09	1.42231244724896	Up
SLC16A4	8.84E-09	1.42453283990788	Up
ARFGAP3	6.21E-21	1.42541151630565	Up
HLA-DOB	2.49E-08	1.42826752742557	Up
FYN	1.72E-11	1.42976417026367	Up
HLA-DPB1	7.06E-09	1.43064972598339	Up
PMP22	5.02E-11	1.43118878517374	Up
CCDC69	2.92E-11	1.43362431423407	Up
IGFBP7	1.21E-08	1.43372918221721	Up
IFI44L	6.31E-06	1.43433089178971	Up
HIF1A	7.33E-20	1.43463571876478	Up
CCL19	0.000905986535121	1.43611090930352	Up
LEF1	8.40E-11	1.43830350815296	Up
MCTP1	5.77E-07	1.43845763956839	Up
SAA1	4.10E-06	1.44089600265742	Up
PDE4B	1.76E-10	1.44138225947863	Up
TNFRSF11B	5.83E-05	1.44367807045976	Up
HLA-DQA1	3.38E-06	1.44530438597715	Up
HLA-DQA1	3.38E-06	1.44530438597715	Up
SAA2	3.71E-09	1.44557400783937	Up
FCER1G	1.92E-05	1.44576954893008	Up
G0S2	1.21E-05	1.44666164447733	Up
FCGR1B	1.32E-05	1.44972607426776	Up
SLCO4A1	2.05E-13	1.45127729258644	Up
TMEM156	2.32E-06	1.45149366578962	Up
GUCY1A3	1.64E-05	1.45321745561684	Up
ITGA2	4.94E-09	1.45326548553428	Up
CD22	0.000810684843009	1.45340894092136	Up
CTSH	1.86E-11	1.45346204411319	Up
CD37	2.49E-06	1.45522083543215	Up
CASP1	2.25E-11	1.45547975518889	Up
APLNR	6.65E-11	1.45553959826627	Up
FKBP11	2.18E-15	1.45662234031302	Up
COL4A2	1.69E-09	1.45703116071974	Up
CASP5	3.98E-06	1.45774140678772	Up
PTPN13	8.02E-16	1.45864004095213	Up
LILRB2	2.09E-08	1.45993095383211	Up
MX2	5.37E-08	1.46221227131948	Up
ANO6	5.20E-10	1.46238923691295	Up
GMFG	5.31E-09	1.4640691181965	Up
CYTH4	1.65E-09	1.46577250889054	Up
FCGR2B	6.78E-07	1.46781097408984	Up
CFH	4.05E-05	1.4680746509865	Up
DEFB4B	1.55E-05	1.46957367956485	Up
DEFB4A	1.55E-05	1.46957367956485	Up
HLA-DPB1	5.96E-10	1.47080029397919	Up
CD82	1.82E-16	1.47142805660441	Up
TMTC1	7.77E-10	1.47158355999644	Up
LRRK2	6.10E-06	1.47635143491315	Up
CHST11	5.58E-11	1.47746124834627	Up
ITGB2	6.67E-09	1.48100738633118	Up
FCGR1B	8.98E-06	1.48320892360262	Up
LYN	6.31E-18	1.48411455587103	Up
PLA2G7	1.12E-05	1.48510895853264	Up
IL2RA	5.58E-08	1.48553479588016	Up
ZC3H12A	4.27E-15	1.48583166812711	Up
BACE2	2.87E-21	1.48613819774688	Up
ADAM19	1.12E-09	1.48722954427919	Up
ST8SIA4	1.19E-07	1.4915000012666	Up
LAMP3	7.39E-08	1.4923438069751	Up
ARHGDIB	1.64E-08	1.49295023738824	Up
ARHGAP29	7.35E-08	1.49652458491438	Up
BHLHE40	4.05E-16	1.49719494106874	Up
WIPF1	8.40E-10	1.49731883194879	Up
CSF2RB	8.88E-09	1.50098647023788	Up
STOM	7.48E-13	1.50246100004698	Up
F2R	2.15E-12	1.50299743555257	Up
GIMAP4	1.46E-10	1.5059444461971	Up
SLC6A20	1.31E-07	1.50945827206859	Up
CCL24	1.19E-10	1.51162872864226	Up
FUT8	5.06E-19	1.51475724942858	Up
SAMD9L	6.28E-17	1.51523811496794	Up
ZBP1	2.61E-17	1.51545579886246	Up
MCAM	8.75E-09	1.51915173780286	Up
CHI3L2	2.04E-05	1.52093352028583	Up
HLA-DQB1	3.94E-11	1.52233868048601	Up
HLA-DQB1	3.94E-11	1.52233868048601	Up
CDC25B	1.84E-20	1.52510157124648	Up
NNMT	7.08E-09	1.52736285705871	Up
RASGRP3	3.25E-08	1.52762609180738	Up
RHOJ	3.08E-08	1.5312307173076	Up
PDGFRB	6.02E-08	1.53520178645073	Up
FAP	5.64E-05	1.53662504087572	Up
KDELR3	3.86E-15	1.53689571450004	Up
ME1	4.17E-08	1.53981859828628	Up
ANXA5	5.52E-16	1.54046399689441	Up
TFPI	4.23E-07	1.54203249552998	Up
HLA-DPB1	1.05E-08	1.54324306737861	Up
TRIM40	0.000236126988375	1.54347379964983	Up
TRIM40	0.000236126988375	1.54347379964983	Up
CD27	3.21E-07	1.54348959196491	Up
CAV1	1.40E-06	1.54514853534145	Up
HLA-DRB1	3.49E-05	1.54735254558609	Up
GABRP	3.26E-11	1.55152157611111	Up
LAPTM5	1.95E-07	1.55245160283275	Up
BCL6	2.72E-08	1.55588467812204	Up
TRIM40	0.000172727537995	1.55703451934139	Up
FGF7	1.09E-06	1.55855133084609	Up
HCAR2	0.000420828097196	1.55956166874617	Up
TNFRSF9	6.76E-10	1.56001490358406	Up
CCDC3	1.65E-07	1.5663574662536	Up
ENPP2	2.56E-09	1.56688736450321	Up
CATSPERB	3.76E-06	1.5678241287409	Up
IFI6	6.74E-12	1.56941391241833	Up
PROK2	1.40E-05	1.57039665853272	Up
SLAMF6	2.94E-07	1.5708541749797	Up
TM4SF18	2.63E-10	1.57112855876784	Up
C8orf4	3.96E-10	1.57177287643439	Up
DCN	5.71E-05	1.57221304629731	Up
PCOLCE	9.50E-09	1.57346135319556	Up
COL3A1	3.82E-07	1.5737302596447	Up
FLT1	9.39E-11	1.57509129603883	Up
BCL2A1	2.98E-06	1.57829737332668	Up
GPR183	4.87E-09	1.58004951705444	Up
SLC28A3	2.04E-11	1.58356865797252	Up
LAMC1	2.30E-10	1.58626104058017	Up
CHN1	2.10E-06	1.58672084714407	Up
DYSF	5.38E-08	1.58693949173198	Up
PARP8	3.13E-15	1.58836697475504	Up
LCP2	3.08E-08	1.59323827293235	Up
BNIP3	3.57E-11	1.59595600009987	Up
LCP1	1.98E-07	1.60021930312504	Up
CD69	6.45E-08	1.60203744328879	Up
STX11	4.45E-08	1.60268683002791	Up
LY96	1.18E-05	1.60392720931154	Up
MNDA	7.50E-06	1.60607669858122	Up
SAMSN1	5.33E-08	1.60883753939752	Up
DEFA5	0.016612259121553	1.60952879807207	Up
RBMS1	1.78E-06	1.61282265554083	Up
NID1	2.28E-08	1.61433951422327	Up
ADAMTS1	1.52E-07	1.61660274546414	Up
TAGAP	1.46E-06	1.6171811585976	Up
CD44	2.83E-18	1.62386029393361	Up
BANK1	7.78E-05	1.62426582647799	Up
CD34	7.05E-11	1.6406622321294	Up
CXCR2	9.33E-06	1.64127097486202	Up
ROBO1	5.18E-10	1.64239534551255	Up
KCNA3	6.72E-08	1.64436499650108	Up
INHBA	5.28E-05	1.64805719315945	Up
FCGR2B	3.43E-07	1.64910003160144	Up
CXCR4	7.33E-08	1.64927829872798	Up
RGS1	3.52E-07	1.65117117128559	Up
FAM65B	2.21E-07	1.65475756247012	Up
CDH11	4.74E-10	1.65521259655023	Up
CARD6	8.26E-13	1.667439669856	Up
CYYR1	2.84E-10	1.66948830734113	Up
IFITM3	1.20E-24	1.67093117870544	Up
ELL2	3.42E-18	1.67107300013983	Up
KCNJ15	1.62E-06	1.67363157018848	Up
HLA-DPA1	3.54E-11	1.67523927739079	Up
HLA-DPA1	3.54E-11	1.67523927739079	Up
GLIPR1	1.43E-06	1.67639593598359	Up
AREG	6.62E-08	1.67815580645938	Up
TCF4	5.24E-09	1.68110968323347	Up
IL1R1	4.26E-10	1.68317146745966	Up
SLC6A6	1.03E-13	1.68326804903465	Up
CLU	4.47E-07	1.68336644225312	Up
F3	2.76E-17	1.68371816207648	Up
COL15A1	1.21E-09	1.68938609191364	Up
RAC2	2.72E-15	1.68964581193326	Up
FFAR2	9.34E-06	1.68975820134958	Up
IRF4	5.91E-09	1.69185166907807	Up
HLA-DPA1	1.08E-11	1.7023961533125	Up
CR2	0.002378857298442	1.70356763153199	Up
LUM	1.68E-06	1.70541834651754	Up
NRG1	2.92E-07	1.71120841806008	Up
F2RL2	4.21E-10	1.71144776302112	Up
HLA-DRB1	3.58E-18	1.71586195542613	Up
FADS1	1.66E-10	1.7166511689517	Up
EVI2B	1.64E-10	1.71773474526891	Up
ENG	9.60E-12	1.71976437608999	Up
RHOH	4.65E-09	1.71992161513442	Up
MME	8.09E-07	1.72091586472891	Up
PRRX1	8.71E-07	1.72201414415149	Up
HLA-DRB5	2.20E-07	1.72449810004256	Up
HLA-DRB1	3.42E-20	1.72631039036723	Up
HLA-DRB1	1.37E-19	1.72632837695707	Up
TFF1	7.48E-08	1.73018815685997	Up
CD74	1.55E-23	1.73944617951198	Up
IL33	1.40E-09	1.74061043207736	Up
RBMS1	7.93E-09	1.74104394894219	Up
RAB31	2.29E-11	1.74193621943108	Up
THY1	7.47E-09	1.74233228643714	Up
FPR1	1.14E-06	1.74258491627537	Up
GZMK	2.14E-06	1.74304665666563	Up
CD53	8.12E-08	1.74813370996577	Up
LYZ	6.28E-15	1.74892177088314	Up
MZB1	4.15E-11	1.74914581009707	Up
KDR	1.44E-10	1.74966142609567	Up
SLFN5	2.77E-16	1.76116546544744	Up
TRIM29	9.60E-12	1.76170859115034	Up
ELOVL5	5.96E-13	1.77045760942011	Up
LOXL2	7.92E-11	1.77089333713289	Up
SERPINB9	4.91E-10	1.77480771217477	Up
VCAN	5.60E-08	1.77553104873212	Up
MSN	6.52E-13	1.78798874552036	Up
CYTIP	7.16E-09	1.78976040955076	Up
PXDN	9.16E-10	1.79004781414787	Up
RBPMS	1.14E-21	1.79410579487441	Up
CYR61	7.42E-07	1.79486567176009	Up
HEG1	3.36E-12	1.79524055865917	Up
ANGPTL2	4.63E-09	1.80010733611391	Up
COL4A1	8.92E-11	1.80258690138011	Up
SPARC	5.20E-10	1.80423742865572	Up
PITPNC1	3.02E-25	1.80665221985242	Up
TGFBI	2.07E-12	1.80679049164685	Up
ITGAX	1.01E-09	1.80696545694028	Up
HLA-DMA	4.92E-21	1.80798075338015	Up
SPARCL1	6.73E-08	1.8125500563838	Up
FDCSP	0.000923054121163	1.82132176452494	Up
CDH5	6.66E-13	1.8230503298827	Up
CD93	8.54E-11	1.82499387346013	Up
STRIP2	1.03E-14	1.82807234360266	Up
HLA-DMA	4.92E-21	1.82993447937187	Up
HLA-DMA	4.92E-21	1.82993447937187	Up
AREG	1.51E-07	1.83633981679861	Up
SLFN11	4.09E-11	1.83741788543289	Up
FBN1	6.38E-09	1.83864895448168	Up
FCGR1B	1.92E-06	1.84505516816218	Up
VCAM1	2.80E-09	1.84761058239238	Up
EGR1	7.42E-08	1.85385288577286	Up
KLHL5	5.53E-09	1.85486775603832	Up
DOC2B	1.64E-13	1.85584332804665	Up
SERPING1	3.83E-10	1.85803867850845	Up
GNA15	2.80E-20	1.86172681779962	Up
ALPL	4.76E-09	1.86242884733287	Up
SLAMF7	7.68E-09	1.8667437812433	Up
NCF2	1.71E-08	1.86869980168437	Up
ENTPD1	2.87E-11	1.87205677853449	Up
IFI16	4.94E-16	1.87616161995962	Up
CD38	9.20E-12	1.88349011865401	Up
HGF	1.55E-09	1.88485024169549	Up
IL13RA2	4.89E-06	1.88828694118376	Up
SLC7A5	3.25E-14	1.89070937288951	Up
MS4A1	0.000627244465098	1.89394712608765	Up
C1S	6.33E-09	1.89802845635573	Up
PTPRC	1.21E-08	1.91868597355166	Up
NR4A2	1.00E-06	1.92867169707497	Up
S100P	3.47E-13	1.92899030497822	Up
PRDM1	9.78E-14	1.93642326210199	Up
ST3GAL1	3.63E-15	1.93748152564629	Up
IL6	0.000394308377852	1.93833599918466	Up
MMP2	3.32E-07	1.93859616957954	Up
DRAM1	2.90E-16	1.94723897183079	Up
RGS2	1.35E-09	1.9474289785481	Up
COL1A2	8.46E-10	1.94791758843178	Up
ARNTL2	1.25E-20	1.95304143584143	Up
GJA1	2.90E-10	1.95390782194538	Up
CSF3R	1.88E-07	1.9610640067814	Up
C1R	6.32E-13	1.96228063567147	Up
TRIM22	2.53E-19	1.96930869195875	Up
BIRC3	1.96E-13	1.97288506242161	Up
TRIB2	5.61E-19	1.97851020483596	Up
ACKR4	4.46E-11	1.97992817091067	Up
PDZK1IP1	2.40E-12	1.98121672142848	Up
FPR2	1.18E-06	1.98511909662091	Up
PCSK1	3.42E-08	1.98666733220128	Up
COL1A1	1.01E-10	1.99389387700017	Up
S100A9	6.54E-08	1.99781309852085	Up
FSTL1	2.99E-12	2.00286991105252	Up
TREM1	5.73E-07	2.01074359295141	Up
CTSK	1.57E-09	2.01608111028227	Up
LPCAT1	2.20E-31	2.02451669212874	Up
OAS2	1.13E-17	2.02754119720939	Up
CR1	8.53E-09	2.02981655253896	Up
EDNRA	2.25E-08	2.02990665809642	Up
CD180	3.79E-08	2.03087359742838	Up
PI15	0.003687402010598	2.03203848740275	Up
FCRL5	4.18E-11	2.03205079726186	Up
MGP	7.69E-08	2.03668862540695	Up
C4A	3.04E-11	2.03963222977072	Up
C4A	3.04E-11	2.03963222977072	Up
HLA-DRA	1.84E-22	2.04025290825273	Up
FADS2	8.88E-09	2.042920937293	Up
HLA-DRA	1.84E-22	2.04861596137237	Up
KCND3	2.78E-14	2.0515510127892	Up
SRGN	9.96E-11	2.05448718149631	Up
CALCRL	4.93E-09	2.05899240438561	Up
WNT5A	4.08E-08	2.06354888831794	Up
ADAMTS9	4.65E-17	2.0653109385711	Up
KLK10	1.09E-05	2.06700733531675	Up
HLA-DRA	1.04E-22	2.07038638001768	Up
SLC2A3	2.61E-09	2.08131111554164	Up
CKAP2	2.31E-05	2.08903358964675	Up
STC1	1.98E-07	2.09896942525159	Up
TDO2	1.07E-05	2.09954411166672	Up
LAX1	3.62E-12	2.10023973466681	Up
ALDOB	4.95E-05	2.10123014793998	Up
HCAR3	0.000111446619352	2.10644859106929	Up
FOS	3.90E-08	2.11245679943854	Up
SERPINE1	1.35E-07	2.12341998004114	Up
CD55	9.77E-21	2.14123480657462	Up
C4BPB	2.74E-14	2.1468188610391	Up
VWF	1.75E-14	2.15385732966311	Up
PHLDA1	1.37E-18	2.17419209566745	Up
BGN	7.69E-11	2.19177716507143	Up
PFKFB3	4.45E-15	2.1926192526827	Up
WARS	1.50E-16	2.19901601794788	Up
FCGR2A	4.08E-07	2.2108628775793	Up
OLFM4	4.38E-08	2.21404473840904	Up
CCL20	1.18E-09	2.22932176388824	Up
CD274	3.25E-10	2.23143461904215	Up
GBP5	5.52E-09	2.23199622523802	Up
CD79A	1.54E-07	2.23482812749262	Up
SPINK4	9.70E-07	2.239917506791	Up
DSG3	3.62E-06	2.24771375299276	Up
CFI	8.31E-14	2.2565026444943	Up
ACSL4	6.07E-10	2.25840926997505	Up
CXCL13	2.67E-05	2.25858794306016	Up
MMP10	4.05E-11	2.25889238937275	Up
DAPP1	4.74E-24	2.25958425546866	Up
CCL2	6.64E-08	2.2606437934569	Up
ICAM1	4.22E-12	2.26886733351501	Up
SELL	2.37E-07	2.26929721356423	Up
CLDN1	5.02E-12	2.28048897568255	Up
UBD	7.31E-14	2.29255843954339	Up
IL7R	2.51E-09	2.29655146236949	Up
IL1A	2.03E-08	2.29928524660595	Up
PLAU	9.60E-12	2.30304638369339	Up
ITGA5	2.29E-11	2.31190903232199	Up
CXCL9	4.42E-08	2.31589398407906	Up
CFB	3.02E-25	2.32280551065739	Up
RGS5	2.45E-10	2.33153198121046	Up
COL12A1	1.71E-07	2.33688362087847	Up
GBP4	9.20E-14	2.33987773768545	Up
SPP1	6.98E-07	2.34289007705832	Up
CFB	1.61E-24	2.34435042722439	Up
CCL18	2.19E-06	2.34626820032963	Up
UBD	4.19E-14	2.35131867066096	Up
CFB	1.20E-24	2.37145556111832	Up
COL6A3	1.02E-12	2.38129014773863	Up
CEMIP	1.95E-08	2.38160510129661	Up
ANXA1	1.12E-15	2.38659468548149	Up
IRAK3	1.79E-18	2.40088555284256	Up
SERPINB4	4.66E-05	2.40523095454045	Up
MMP9	1.84E-10	2.40608859366299	Up
CXCR1	8.36E-08	2.41027170171848	Up
TNFAIP6	1.32E-05	2.41104369409803	Up
C3	4.81E-09	2.41382517967732	Up
C2	4.49E-26	2.41488934537439	Up
SLC7A11	5.31E-16	2.43253372013504	Up
PECAM1	2.65E-15	2.4379108198928	Up
C2	4.49E-26	2.43903820376203	Up
C2	4.49E-26	2.43903820376203	Up
FCGR3B	9.11E-13	2.47599651705285	Up
APOL1	2.59E-18	2.4839343696217	Up
IGFBP5	3.98E-11	2.50028263743726	Up
SOCS3	2.30E-13	2.5284110248069	Up
TGM2	3.02E-20	2.52995952346843	Up
C4BPA	3.46E-09	2.55212669098308	Up
SELP	2.46E-13	2.55637601346233	Up
VNN2	1.80E-09	2.56085091587441	Up
PIM2	6.69E-14	2.57157126646365	Up
CXCL2	4.71E-18	2.59133988184332	Up
MXRA5	3.29E-17	2.60715858471311	Up
DMBT1	5.16E-08	2.62148204857291	Up
S100A12	2.82E-06	2.65499919193704	Up
SERPINB7	9.64E-07	2.70425196414955	Up
SELE	1.57E-08	2.70638768660161	Up
PLEK	1.78E-09	2.71263494405383	Up
SLCO1B3	3.91E-07	2.79541231240395	Up
SERPINA3	3.03E-12	2.80985996306363	Up
STEAP4	7.48E-13	2.87740581427506	Up
OSMR	2.15E-16	2.90163009570999	Up
CXCL10	6.92E-09	2.98527303326256	Up
TNC	2.71E-11	2.98811916046144	Up
TIMP1	4.13E-28	2.98959533939176	Up
REG4	3.09E-13	2.99285279927519	Up
IL1RN	2.18E-15	2.99699226496678	Up
CXCL11	2.29E-11	3.0243901856621	Up
PI3	1.69E-20	3.12861730548333	Up
CDH3	3.19E-18	3.18612783382582	Up
MMP12	2.73E-13	3.22882188300447	Up
PTGS2	3.34E-10	3.28631102161631	Up
