Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
TUSC1	3.03E-16	-1.6898394	down
MT-ND5	1.12E-06	-1.6893193	down
COX7C	1.28E-15	-1.688717	down
SUCLA2	1.48E-13	-1.688548	down
KRTCAP3	3.93E-10	-1.6877521	down
MKNK2	4.34E-19	-1.6870247	down
MAP7	2.90E-07	-1.6859034	down
GNPTAB	1.15E-08	-1.6843778	down
HIST1H2BD	6.32E-10	-1.6840713	down
MAZ	7.47E-18	-1.6834118	down
TMEM35	4.66E-05	-1.683277	down
MAPK13	1.05E-10	-1.6832305	down
FAM168B	8.50E-10	-1.683115	down
UQCRC1	4.25E-12	-1.6813272	down
FOXA2	1.56E-05	-1.6797986	down
C17orf97	1.86E-04	-1.6797202	down
RP11-903H12.5	2.56E-07	-1.6790322	down
MT-ND2	1.04E-09	-1.6785082	down
ARPIN	8.05E-09	-1.6783715	down
ILVBL	8.61E-11	-1.677159	down
PRUNE	3.02E-16	-1.6770813	down
GLOD4	2.84E-16	-1.6764015	down
XYLT1	5.84E-07	-1.6759709	down
CALCOCO2	1.62E-10	-1.6755242	down
S100A14	3.52E-07	-1.6754371	down
EHF	6.45E-04	-1.6753758	down
NET1	3.68E-07	-1.6752232	down
BAD	1.06E-18	-1.6750537	down
SLC17A5	4.68E-09	-1.6748637	down
TTC30B	6.73E-11	-1.673679	down
STOX1	2.60E-05	-1.6722387	down
MFSD6L	4.24E-05	-1.6715958	down
GRM8	1.09E-04	-1.6710074	down
PPDPF	9.75E-14	-1.6706225	down
UQCRH	7.70E-16	-1.6705173	down
FAM84A	3.76E-07	-1.6698636	down
ERLIN2	5.90E-10	-1.6672269	down
FAM195A	7.49E-10	-1.6671183	down
ABCG1	2.31E-09	-1.6668975	down
HUNK	2.27E-05	-1.6668423	down
SMAD7	1.04E-09	-1.6667594	down
ATP5A1	2.88E-14	-1.6662916	down
ATP5J	4.43E-17	-1.6662264	down
FOXA1	1.79E-06	-1.6658446	down
SLC25A24	1.69E-08	-1.6658126	down
PROSC	2.67E-17	-1.6633449	down
TEX2	1.21E-09	-1.6631532	down
AP1M2	1.19E-08	-1.6629204	down
TNFRSF21	1.44E-09	-1.6627398	down
CAP2	1.17E-05	-1.6625108	down
HSPA1B	1.56E-07	-1.6612866	down
FXYD1	1.43E-04	-1.6610608	down
SMIM19	4.95E-16	-1.6609607	down
EPHB2	5.00E-06	-1.6605899	down
C2orf82	2.00E-05	-1.6596177	down
CCDC85C	8.03E-07	-1.6585258	down
SYP	1.63E-05	-1.6572165	down
RPS6	4.05E-19	-1.6570143	down
PROM2	4.89E-04	-1.6568518	down
NDUFA8	2.15E-17	-1.6568345	down
ATP5I	2.22E-13	-1.6563089	down
FAM134A	1.91E-18	-1.6556578	down
ST6GALNAC1	7.67E-05	-1.6551545	down
RPS3	2.32E-19	-1.653405	down
QTRT1	1.72E-11	-1.6526577	down
WLS	1.23E-10	-1.6522498	down
CEBPA	2.91E-11	-1.6496398	down
BARX2	8.38E-06	-1.6485572	down
C11orf1	1.62E-18	-1.6474965	down
HES1	6.50E-10	-1.6473202	down
OAT	4.06E-16	-1.6461711	down
PCDH1	1.46E-05	-1.6460712	down
H1F0	3.54E-09	-1.6449136	down
SH3BGR	6.63E-09	-1.6447386	down
SH3D19	2.97E-08	-1.643964	down
CRLS1	4.02E-19	-1.643702	down
FBXL14	1.82E-07	-1.6426582	down
ZNF821	5.39E-09	-1.641682	down
ABTB2	3.42E-07	-1.6416785	down
UQCRC2	1.49E-12	-1.6410267	down
KCTD12	1.15E-07	-1.640795	down
COX6B1	3.46E-13	-1.6406093	down
MRPL15	1.69E-16	-1.6402214	down
RPS21	1.93E-15	-1.6393735	down
MYB	2.95E-06	-1.6384364	down
AMIGO1	3.90E-05	-1.637946	down
PTRHD1	3.41E-15	-1.6376672	down
FAM8A1	3.94E-09	-1.6370732	down
SORT1	1.06E-06	-1.6367809	down
COX8A	1.63E-12	-1.635517	down
TMEM128	1.02E-18	-1.6354944	down
MFI2	4.20E-08	-1.635477	down
GOT2	9.51E-12	-1.6345514	down
MANSC1	1.84E-07	-1.6322511	down
TSPAN15	3.06E-11	-1.6299571	down
EPCAM	6.46E-08	-1.6298833	down
DSG2	8.26E-05	-1.6270012	down
GSTO2	8.19E-08	-1.6269196	down
RPS24	4.11E-18	-1.6258308	down
HIST1H1C	2.37E-10	-1.6256713	down
FAM105A	2.04E-09	-1.6247704	down
TMEM177	2.42E-11	-1.6246119	down
NUDT6	7.83E-10	-1.6244252	down
MED9	1.44E-17	-1.6239017	down
NIPAL3	2.16E-11	-1.6234735	down
DENND1C	2.41E-11	-1.6232649	down
ECHS1	8.53E-14	-1.6230618	down
PDLIM1	2.28E-18	-1.622692	down
SEMA3D	5.72E-04	-1.6202043	down
TSC22D1	9.92E-10	-1.6196483	down
PLGRKT	2.28E-12	-1.6185838	down
RSBN1	3.05E-07	-1.6178963	down
NDUFS4	2.59E-15	-1.6175942	down
RPL26	2.12E-18	-1.6157817	down
ESRRA	1.10E-09	-1.6151937	down
EFCAB14	7.65E-09	-1.6147451	down
BMP8B	1.79E-08	-1.6143608	down
TACO1	4.79E-16	-1.6137891	down
EEF1G	1.63E-21	-1.6136737	down
KIAA1671	2.32E-05	-1.6135015	down
ADAP1	1.08E-09	-1.6130824	down
OPLAH	1.17E-06	-1.6113404	down
XPNPEP3	2.70E-08	-1.6107831	down
ZBED1	2.12E-12	-1.6101133	down
PAIP2B	3.13E-09	-1.6101037	down
MMEL1	2.01E-05	-1.6099699	down
FBP1	1.00E-11	-1.6093382	down
MYO10	2.54E-05	-1.6090053	down
SEPP1	1.54E-05	-1.6085801	down
MT-ND1	6.32E-08	-1.6085753	down
ARL4A	5.51E-10	-1.6081928	down
ATP5C1	3.24E-14	-1.6070809	down
PRRG4	2.11E-06	-1.6067032	down
PAK4	4.07E-09	-1.6061237	down
DHRS4	6.76E-12	-1.6059625	down
PEX11G	2.84E-10	-1.6053553	down
ZFP91	1.33E-08	-1.6046445	down
ST14	1.05E-06	-1.6045163	down
HINT2	7.97E-16	-1.6043817	down
BCAR3	5.06E-09	-1.603976	down
COX7B	1.04E-10	-1.6038191	down
SLC37A4	2.54E-09	-1.6036237	down
TGOLN2	1.33E-06	-1.6033984	down
RP11-80H18.3	2.89E-10	-1.60257	down
TTC39A	5.02E-05	-1.602025	down
C7orf55	1.36E-11	-1.6015761	down
C9orf69	9.41E-19	-1.5997771	down
S100A10	1.01E-12	-1.599734	down
CHMP1B	5.30E-13	-1.5994352	down
SBDS	2.85E-14	-1.5991194	down
MPZL2	6.10E-07	-1.5990713	down
MUC3A	4.76E-06	-1.5990615	down
TMEM251	6.70E-17	-1.5987275	down
MRPS18A	4.97E-15	-1.5974375	down
ABHD14B	1.42E-13	-1.5974206	down
NUDT16L1	4.44E-18	-1.5965561	down
GGT1	1.46E-05	-1.5946925	down
SLC30A1	1.37E-07	-1.5943105	down
ATP5H	5.17E-15	-1.5942507	down
UNG	1.76E-10	-1.5941168	down
RCHY1	3.87E-14	-1.5938189	down
ARSJ	2.30E-05	-1.593648	down
ITPK1	1.43E-11	-1.593353	down
GPR161	8.03E-06	-1.5929496	down
ZBTB42	9.20E-12	-1.592303	down
NFIX	6.61E-05	-1.5919696	down
GNE	6.82E-04	-1.5917703	down
EIF4E3	5.23E-11	-1.5916407	down
CAB39L	9.95E-13	-1.591326	down
EFHC2	3.87E-06	-1.5910355	down
RPL30	2.61E-17	-1.590953	down
PSEN1	9.81E-12	-1.5899701	down
TAX1BP3	6.52E-16	-1.589716	down
HMGN5	3.61E-06	-1.5895756	down
NDUFB2	3.71E-13	-1.5894939	down
ZER1	6.21E-09	-1.587926	down
TEX264	9.84E-20	-1.5876665	down
ATXN7L3B	9.97E-11	-1.587117	down
TTLL12	5.40E-09	-1.5863615	down
RPL39	3.68E-13	-1.5862283	down
ZNRF2	2.41E-10	-1.5861182	down
PSKH1	4.11E-15	-1.5854328	down
RPL37A	1.17E-14	-1.585262	down
TMEM14B	1.40E-21	-1.5850348	down
C12orf75	2.93E-09	-1.5838547	down
ATP5S	8.18E-11	-1.5837336	down
FAM73A	1.64E-06	-1.5825235	down
MRPS35	1.02E-10	-1.5818092	down
TP53I11	1.08E-08	-1.581668	down
HIST1H2BG	9.15E-06	-1.5813625	down
GMFB	4.72E-10	-1.5809555	down
CYB5B	3.45E-12	-1.577764	down
PKP2	2.76E-05	-1.5777055	down
SPDEF	9.58E-05	-1.5776435	down
BLVRB	6.13E-14	-1.5776199	down
FAM53B	9.11E-09	-1.5775559	down
EPN1	2.39E-14	-1.577539	down
PIK3R2	1.35E-11	-1.5772601	down
ATP5G2	1.57E-16	-1.5767115	down
PDSS2	4.18E-11	-1.5765982	down
CAPN2	2.55E-09	-1.575666	down
TMEM61	5.10E-04	-1.5755137	down
CPE	6.96E-06	-1.5749766	down
NUDT15	8.35E-11	-1.574569	down
RNF185	2.53E-15	-1.573935	down
ERGIC1	9.83E-15	-1.5729854	down
NCOA4	3.21E-11	-1.5728811	down
LYPD6	5.03E-06	-1.5709223	down
BRCC3	6.80E-09	-1.5701095	down
RPP25L	1.40E-16	-1.56995	down
IDH1	1.17E-07	-1.5691279	down
NLN	1.41E-09	-1.5684986	down
GSTZ1	9.39E-09	-1.568365	down
SLC25A10	4.14E-08	-1.5678188	down
CMC1	4.40E-12	-1.567352	down
MISP	4.40E-07	-1.5663712	down
ADORA3	4.01E-04	-1.5662798	down
CGRRF1	2.15E-16	-1.5661117	down
GJB2	7.45E-08	-1.5656189	down
MDH1	2.53E-14	-1.5654787	down
SPATA24	6.79E-08	-1.5650642	down
MINOS1	1.79E-12	-1.5648793	down
RPL5	4.54E-18	-1.5645905	down
MUL1	3.07E-14	-1.5644714	down
APOOL	2.65E-06	-1.5644436	down
PLPP6	2.62E-11	-1.5637096	down
SEPW1	9.67E-14	-1.5634098	down
TTC30A	5.68E-07	-1.563281	down
GFER	1.20E-14	-1.562354	down
KRT8	3.62E-07	-1.5623481	down
MT-ND6	1.98E-08	-1.5623221	down
RPL10A	3.21E-17	-1.5614675	down
RPL31	4.03E-15	-1.5614431	down
DBT	8.39E-06	-1.5610069	down
COX14	2.13E-14	-1.5600235	down
COL17A1	1.29E-05	-1.5598289	down
BEX2	8.22E-07	-1.5594493	down
DHFRL1	1.38E-08	-1.5592929	down
ACBD5	8.42E-09	-1.5591171	down
USMG5	8.98E-10	-1.5590582	down
CACNA1A	3.62E-04	-1.5590527	down
EEF1B2	1.36E-18	-1.558606	down
LAMTOR3	6.64E-14	-1.5581098	down
TIGD5	3.08E-13	-1.5579643	down
SRGAP1	5.74E-07	-1.5571373	down
VTA1	1.33E-12	-1.5571085	down
GLRX5	2.72E-15	-1.5568669	down
SDSL	4.40E-09	-1.5567195	down
RALBP1	2.38E-10	-1.5560206	down
MARVELD1	1.83E-09	-1.5556128	down
MARCH8	3.26E-08	-1.5554838	down
PPFIA3	2.77E-06	-1.5547571	down
JUN	4.97E-04	-1.5539365	down
IARS2	5.13E-09	-1.5536782	down
PEBP1	5.78E-16	-1.5534989	down
PLB1	1.29E-05	-1.5531884	down
SLC39A11	5.45E-08	-1.553179	down
PCBD1	8.53E-13	-1.5530888	down
NUDT9	1.05E-11	-1.5528909	down
CAB39	8.63E-09	-1.5527471	down
PARM1	4.11E-05	-1.552574	down
PTTG1IP	4.09E-11	-1.552552	down
TOX3	4.73E-05	-1.5521098	down
RBM38	7.12E-09	-1.5519744	down
UQCR11	5.17E-11	-1.5519736	down
ABCC6	1.47E-04	-1.5513577	down
ATP5D	1.50E-09	-1.5512832	down
PERP	3.57E-10	-1.5510173	down
ATPIF1	1.92E-12	-1.5501643	down
MRPL12	9.59E-11	-1.5500201	down
PRPS2	2.09E-09	-1.5494498	down
APP	3.37E-05	-1.5486624	down
NEDD9	3.34E-07	-1.5486068	down
KIAA1715	6.19E-06	-1.5483634	down
FAM83G	3.43E-08	-1.5480467	down
BTF3	5.76E-19	-1.5469172	down
MRPS9	6.37E-12	-1.5451841	down
MALL	9.85E-07	-1.5447508	down
KLHL23	5.08E-06	-1.5446662	down
APOBR	4.75E-05	-1.5444438	down
RPS9	1.20E-15	-1.5434691	down
TMEM63B	6.13E-08	-1.5434227	down
TMEM245	2.42E-06	-1.543131	down
FBXO8	6.05E-14	-1.5417386	down
AGAP1	1.87E-06	-1.5413424	down
IGSF8	1.89E-09	-1.5400054	down
NDUFB1	3.67E-13	-1.5398104	down
DOPEY2	5.48E-04	-1.5395577	down
RPS7	4.89E-18	-1.5392376	down
MFHAS1	4.48E-07	-1.5391401	down
ELMO3	1.26E-06	-1.5391114	down
RPS10	1.48E-14	-1.5390381	down
C2orf15	2.25E-06	-1.5385346	down
CTSS	9.76E-07	-1.5385158	down
ZNF468	1.98E-06	-1.5383216	down
RAB11FIP4	7.95E-07	-1.537536	down
HACD2	1.94E-08	-1.5368319	down
BMPR1A	1.17E-05	-1.5364647	down
RPIA	2.47E-12	-1.5355794	down
TMBIM6	3.92E-16	-1.5354829	down
NDUFS3	7.99E-12	-1.535429	down
EGLN1	5.40E-07	-1.5353501	down
HSBP1L1	1.86E-07	-1.5343955	down
ADH5	2.84E-14	-1.5343637	down
REPS2	1.72E-08	-1.5343143	down
PTP4A1	3.29E-06	-1.5343108	down
FGF13	1.00E-06	-1.5340663	down
SIRT5	2.18E-10	-1.5339952	down
MARCH3	2.90E-10	-1.533278	down
NDUFAB1	1.65E-12	-1.5332422	down
MGST2	6.47E-09	-1.5331064	down
GALNT7	7.96E-05	-1.5329512	down
PLS1	2.04E-04	-1.5325273	down
DAZAP2	6.48E-15	-1.5324974	down
FBXL17	1.60E-07	-1.5324392	down
HEPH	2.36E-05	-1.5318663	down
CDHR3	1.35E-05	-1.5317533	down
ABHD15	2.64E-11	-1.5313256	down
COX10	7.05E-10	-1.5312291	down
FH	1.77E-09	-1.531125	down
RPS6KA1	1.33E-11	-1.5305052	down
HERC3	9.33E-06	-1.5304122	down
APH1A	5.41E-17	-1.529108	down
ROMO1	8.93E-13	-1.5291039	down
PGAP1	3.24E-04	-1.5287355	down
ECSIT	9.87E-13	-1.5287349	down
RPS5	8.77E-16	-1.5283394	down
ANXA9	1.72E-05	-1.5282878	down
APOA1BP	5.91E-20	-1.5280563	down
C14orf2	4.38E-11	-1.5278033	down
GPBP1L1	7.00E-11	-1.5273719	down
IGBP1	1.54E-19	-1.5267417	down
CLSTN1	1.95E-06	-1.5266666	down
PAFAH2	2.85E-07	-1.5264022	down
ACOT2	1.37E-08	-1.5257726	down
TIGD6	7.65E-11	-1.5256443	down
NDUFB8	1.43E-14	-1.5255238	down
RNASE4	1.79E-06	-1.5254663	down
EEF2K	1.34E-06	-1.5252452	down
TMEM127	8.24E-09	-1.5240039	down
TMEM99	1.05E-10	-1.5236088	down
COX7A2L	1.23E-15	-1.5234535	down
MAPK3	3.31E-10	-1.5233108	down
RPL13A	4.31E-15	-1.5229194	down
C7orf73	3.43E-16	-1.5224607	down
KLF3	8.35E-06	-1.5223217	down
DHRS4L2	3.91E-09	-1.5223141	down
PRELID3B	1.16E-09	-1.5217537	down
ATAD1	8.34E-11	-1.5215186	down
TRIM2	1.75E-04	-1.5214565	down
MRPS28	4.42E-13	-1.520968	down
RPS14	5.09E-11	-1.5208127	down
PIGS	1.06E-09	-1.5203861	down
AKR7A3	8.23E-04	-1.5203528	down
ATE1	7.15E-08	-1.5202936	down
RPL8	1.71E-15	-1.5202844	down
CLDN7	1.26E-05	-1.5193812	down
SLC25A43	6.28E-10	-1.5191367	down
LACE1	6.94E-09	-1.5190353	down
SCAPER	1.38E-08	-1.519017	down
NRXN2	2.01E-04	-1.5180285	down
RPS17	3.41E-14	-1.5179756	down
DLAT	1.82E-07	-1.5171806	down
RPL9	5.34E-06	-1.5169629	down
RNF11	6.22E-10	-1.5163527	down
THEM6	3.59E-09	-1.5160648	down
MYL6	6.50E-15	-1.5158206	down
SNX12	2.62E-13	-1.5139542	down
HOXA10	1.80E-08	-1.5134863	down
RNF223	5.04E-06	-1.5132251	down
PHB	3.31E-09	-1.5118872	down
CMAS	1.62E-07	-1.5116813	down
NR1D2	4.03E-04	-1.511169	down
C18orf32	4.58E-14	-1.51071	down
PTER	1.87E-07	-1.5104408	down
KIF1C	5.44E-07	-1.5098578	down
CCDC121	5.38E-08	-1.5092686	down
SYNE2	8.26E-06	-1.5092684	down
UQCRB	9.82E-14	-1.5083506	down
METRNL	2.16E-09	-1.5081643	down
IL10RB	2.95E-12	-1.507589	down
EIF3K	1.48E-13	-1.5074514	down
RPL41	6.44E-16	-1.5074247	down
DUSP23	7.16E-11	-1.5072775	down
LNX1	4.49E-05	-1.507233	down
NFS1	2.14E-13	-1.5069487	down
NUTM2D	3.82E-05	-1.5065439	down
SEZ6L2	3.93E-04	-1.5065304	down
STON2	4.68E-05	-1.5062755	down
RPL27A	2.06E-13	-1.5057724	down
CATSPERG	5.87E-04	-1.5052086	down
TOMM40L	1.56E-11	-1.504048	down
B4GAT1	5.34E-10	-1.5039061	down
PQLC1	4.77E-13	-1.5034698	down
MECOM	7.01E-05	-1.5034474	down
SCAP	4.34E-09	-1.5032026	down
ST6GALNAC3	1.41E-04	-1.5032002	down
PPA2	8.56E-11	-1.5030628	down
DECR1	1.55E-10	-1.5021816	down
SLC39A8	2.97E-04	-1.502142	down
CNPPD1	2.90E-10	-1.5012872	down
PROS1	4.00E-05	-1.5003598	down
SYF2	3.62E-17	-1.5001789	down
PRC1	5.88E-07	1.5000553	up
MFSD10	4.78E-16	1.500193	up
AP3M2	2.09E-08	1.500507	up
TIGAR	6.54E-09	1.500771	up
ZNFX1	5.85E-06	1.5008088	up
PLXNB1	1.69E-05	1.501048	up
ELK4	1.33E-06	1.5012501	up
C1QTNF2	1.79E-06	1.5016506	up
RIMS3	1.97E-04	1.501715	up
KLHL22	1.55E-09	1.5018505	up
ARAP3	1.63E-07	1.5020442	up
KDM2B	1.29E-07	1.502349	up
STIL	4.71E-05	1.5029215	up
BTN2A1	2.60E-12	1.5032856	up
C9orf91	7.38E-08	1.5034204	up
C2CD2	1.35E-07	1.5036006	up
TMEM175	1.59E-10	1.5039846	up
XRN1	3.39E-04	1.5043024	up
USP49	3.63E-06	1.5045464	up
BNIP2	4.38E-11	1.5046799	up
TBCEL	8.38E-07	1.5047346	up
GIT2	4.83E-07	1.5053736	up
MAT2A	7.61E-09	1.5056636	up
NPIPA1	5.07E-07	1.5064745	up
IRAK4	1.88E-07	1.5065325	up
PCYOX1L	5.34E-09	1.5068046	up
TNFRSF14	4.36E-17	1.5068063	up
RABL2B	5.05E-11	1.5069696	up
ERICH1	1.42E-08	1.5071445	up
KPNA5	1.05E-06	1.5074981	up
KCNE4	9.85E-07	1.5078014	up
ABHD8	4.16E-12	1.508178	up
TMEM67	7.15E-06	1.5086801	up
AMOTL1	3.99E-04	1.5087807	up
CARHSP1	7.56E-09	1.509237	up
FKBP7	2.66E-10	1.509597	up
PIGL	7.95E-10	1.5099788	up
ZNF589	8.76E-09	1.5102023	up
DNAJC18	4.13E-06	1.5103031	up
ARHGEF39	3.72E-07	1.5107417	up
DACT3	3.58E-06	1.5107555	up
KIAA1033	1.33E-05	1.5117052	up
FAHD2B	9.38E-13	1.5124154	up
ZNF337	7.01E-11	1.5124829	up
PRPF39	6.20E-12	1.5128126	up
PIDD1	4.05E-10	1.5131643	up
OSBPL7	5.04E-06	1.5133508	up
PSRC1	7.09E-07	1.513491	up
ANKLE2	3.57E-09	1.5135721	up
ZNF418	5.70E-04	1.5136267	up
CDK5RAP2	2.34E-10	1.5142447	up
MALT1	1.05E-06	1.5144224	up
NCOA3	5.05E-06	1.5144374	up
CABIN1	2.65E-10	1.5148576	up
ZNF239	3.37E-07	1.5149312	up
SCLT1	1.67E-11	1.5151222	up
HERC1	3.42E-07	1.5163972	up
GLMN	2.10E-12	1.5165364	up
NFATC2IP	8.95E-08	1.5166142	up
RTP4	1.15E-10	1.5166929	up
KLC1	1.81E-11	1.5168855	up
CHST14	1.30E-10	1.517924	up
LUC7L3	1.10E-12	1.5179387	up
CEP152	3.00E-06	1.517962	up
MOGS	1.87E-12	1.5183302	up
AADAT	3.13E-07	1.5189834	up
PDE7B	2.64E-06	1.5191205	up
BIRC5	7.42E-07	1.5191312	up
BMP4	4.13E-05	1.5191795	up
SAFB2	1.94E-10	1.5195127	up
PAXBP1	4.19E-08	1.519683	up
MOSPD2	2.12E-05	1.5197968	up
TARBP1	1.03E-07	1.5204722	up
PRR14	1.47E-17	1.5206527	up
SMC4	4.68E-06	1.5216608	up
CYBA	1.41E-19	1.522635	up
VPS16	3.03E-14	1.5229193	up
PRKD2	3.04E-12	1.5231327	up
CHPF2	1.55E-12	1.52314	up
PRKD1	7.62E-07	1.5237361	up
CDV3	4.10E-11	1.5239826	up
AC138969.4	1.82E-07	1.5244776	up
CA11	4.16E-05	1.5247024	up
RHOD	5.40E-04	1.5249773	up
MPV17	4.14E-21	1.525822	up
ABTB1	5.62E-10	1.5260148	up
CCDC85B	3.73E-09	1.5261718	up
WDR45	2.81E-21	1.5268562	up
ARG2	8.05E-06	1.5269051	up
ACD	6.45E-17	1.526914	up
PXK	1.72E-07	1.5269789	up
PCDH7	5.09E-04	1.5274171	up
C1orf159	1.67E-13	1.5276656	up
PRR3	7.22E-14	1.5277168	up
RP11-1212A22.4	1.29E-06	1.5277276	up
FAM89A	4.98E-06	1.5283134	up
VASH2	8.29E-06	1.528386	up
DLL4	1.24E-05	1.5283958	up
TAGLN	2.89E-04	1.5285128	up
ANKS3	4.10E-12	1.5287254	up
AGO2	2.10E-05	1.5287945	up
SZT2	2.95E-10	1.5289332	up
ABI2	8.51E-09	1.5294878	up
SLC14A1	5.47E-06	1.5295199	up
ATRIP	5.60E-13	1.5311012	up
CBWD5	1.70E-11	1.5311669	up
FANCM	6.72E-09	1.5316885	up
ZC3H12D	4.11E-06	1.5317554	up
PAMR1	1.36E-04	1.5319953	up
SBF1	1.04E-12	1.5323579	up
ZC3HAV1L	1.61E-04	1.5333077	up
MYOM3	3.83E-05	1.5335728	up
HOOK3	1.79E-04	1.5336338	up
TSC2	6.18E-08	1.5336479	up
ZNF37A	3.56E-07	1.533744	up
ANK2	7.73E-04	1.5339099	up
XRCC3	3.11E-09	1.5346144	up
FUZ	5.12E-16	1.5347229	up
KIAA1328	4.37E-10	1.5348868	up
LRCH4	5.23E-14	1.5354338	up
FAM110B	6.45E-07	1.5358025	up
B3GNTL1	1.93E-10	1.5359125	up
TNRC6A	2.95E-06	1.5365827	up
ST6GALNAC5	8.89E-04	1.5368413	up
PLAGL1	5.63E-07	1.5371078	up
FOXF2	4.67E-09	1.537316	up
GPR82	3.11E-05	1.5377095	up
TLE4	1.92E-07	1.5378197	up
ST3GAL6	7.78E-08	1.5379474	up
EXTL2	6.60E-10	1.5385392	up
PTH1R	1.54E-04	1.5386907	up
BICD2	2.05E-07	1.5388144	up
AUNIP	4.64E-06	1.5389769	up
GK	5.03E-05	1.5397162	up
PYCR1	9.19E-09	1.5400788	up
RPS6KL1	3.30E-07	1.5403043	up
C19orf44	4.30E-07	1.5403476	up
WDR6	1.83E-10	1.5405599	up
DCLK1	1.48E-04	1.5408484	up
TRIM5	2.52E-08	1.5410464	up
SOD3	9.37E-08	1.5415406	up
C1RL	1.61E-11	1.5421239	up
STAT5B	7.49E-08	1.5424424	up
ATG2B	1.06E-04	1.5424483	up
MAP7D1	9.08E-13	1.5429031	up
SNX29	8.78E-06	1.5429683	up
ZNF316	1.06E-07	1.5436361	up
CEP131	6.70E-09	1.5440722	up
AZIN2	2.48E-04	1.5449591	up
PTGER2	1.54E-08	1.5451715	up
PAQR7	2.86E-10	1.545188	up
KIF2C	1.34E-06	1.5453855	up
EFCAB7	2.52E-08	1.5454497	up
SYCE1L	5.80E-05	1.5462037	up
PITPNM1	7.71E-11	1.5475397	up
NCAPG	1.67E-05	1.548255	up
DYNC1H1	6.37E-10	1.548296	up
CRTC2	2.40E-12	1.5496663	up
RHBDD3	1.43E-19	1.5497313	up
RBM19	3.34E-11	1.5498935	up
HUWE1	1.08E-08	1.5501037	up
TPR	8.53E-11	1.5507268	up
TRIM52	1.05E-09	1.5507767	up
ITGA9	2.93E-05	1.5509562	up
UBR5	2.72E-13	1.550973	up
CENPP	1.14E-06	1.5510303	up
PARPBP	1.13E-07	1.5520089	up
NMI	7.05E-12	1.5520624	up
CAPN6	3.78E-04	1.5523272	up
TMEM110	6.92E-12	1.552582	up
MLXIPL	3.06E-04	1.5528737	up
EPN2	7.40E-09	1.5535519	up
MPEG1	4.00E-06	1.5535533	up
UBR4	2.44E-14	1.5540698	up
BEST1	5.13E-08	1.5546466	up
LINS1	1.12E-09	1.5547235	up
RASSF8	1.21E-04	1.5548642	up
SPDYE16	9.61E-06	1.554918	up
ACTA2	1.26E-05	1.5549299	up
PNN	4.44E-11	1.5552375	up
PARD6G	2.06E-08	1.5555972	up
TRAIP	2.41E-07	1.5562726	up
AP3B2	1.07E-05	1.5563118	up
CATSPER2	2.97E-05	1.5563666	up
SYNE1	1.88E-06	1.5566005	up
CXXC1	3.20E-15	1.5580511	up
RRP12	1.18E-08	1.55868	up
THEMIS	2.04E-04	1.5593553	up
PDZD2	3.63E-05	1.5598184	up
NDC80	3.32E-07	1.5598688	up
INPPL1	7.64E-10	1.5598917	up
NCAPH	1.45E-06	1.5599694	up
MPHOSPH9	2.68E-08	1.5602405	up
DPY19L3	6.69E-09	1.5608428	up
PKD2	7.05E-07	1.5608438	up
FUT11	1.18E-09	1.5612072	up
VARS	1.30E-10	1.5612084	up
BACE1	1.27E-06	1.5628586	up
TVP23C	8.13E-08	1.563026	up
RAI2	2.31E-07	1.5635419	up
MYSM1	8.21E-06	1.563713	up
NEU3	1.13E-08	1.5638589	up
ZNF25	4.69E-12	1.5645744	up
HIATL2	3.03E-07	1.5650635	up
MMD	1.89E-12	1.5650636	up
PHLDA3	6.00E-08	1.5650672	up
CLCN7	5.56E-07	1.5653875	up
RBM14-RBM4	1.38E-05	1.5656329	up
CMTM1	6.70E-05	1.5661387	up
RGL1	1.47E-07	1.5665916	up
HGS	1.19E-14	1.5666937	up
TCF7L1	8.28E-10	1.5676222	up
CBWD7	7.64E-08	1.5678118	up
PLEC	1.43E-04	1.5679301	up
ARNTL	8.87E-09	1.5679532	up
KIAA1644	6.22E-05	1.568022	up
MMP11	4.91E-05	1.5688791	up
UBA6	1.23E-05	1.5693003	up
DIAPH3	1.17E-04	1.5700738	up
PTGIS	2.72E-04	1.5702838	up
PARP2	8.01E-19	1.5706822	up
PSME4	2.40E-15	1.5709608	up
FAM76B	2.78E-06	1.5710748	up
INPP5E	1.15E-13	1.5712519	up
PRPF3	1.25E-14	1.5713485	up
IFRD1	6.44E-12	1.5713512	up
HYAL3	2.09E-09	1.5716989	up
SLC25A14	2.27E-16	1.5734669	up
THADA	4.15E-13	1.5753427	up
LY86	1.04E-04	1.5758123	up
CDC42SE1	1.69E-13	1.5763066	up
SGSM3	5.70E-14	1.5768044	up
HOPX	5.18E-05	1.577154	up
CBFA2T3	1.55E-08	1.5773121	up
ZNF331	1.80E-06	1.5783316	up
PSTPIP2	2.42E-05	1.5793586	up
HPS5	2.24E-09	1.5795172	up
ROM1	1.61E-06	1.5796455	up
CNTLN	5.77E-08	1.5797693	up
DCAF15	2.72E-17	1.5798807	up
SLC9A9	1.97E-07	1.5801215	up
PIM1	4.31E-08	1.5801538	up
ACSS3	2.09E-06	1.5803462	up
PABPC4	6.15E-18	1.5813578	up
CAMSAP2	4.16E-06	1.58163	up
ISYNA1	4.42E-12	1.5816476	up
RANBP17	1.48E-06	1.581716	up
